dim,train_mse,test_mse
20,8.868300437927246,11.548269271850586
30,5.698240756988525,7.481784343719482
40,3.557222366333008,4.780384540557861
50,3.173034429550171,4.40597677230835
60,2.4101130962371826,3.5130436420440674
70,2.00797700881958,3.242863178253174
80,1.6614713668823242,2.909985065460205
90,1.2867854833602905,2.294820785522461
100,1.185381293296814,2.2497031688690186
110,0.8937225937843323,2.0280630588531494
120,0.7586266994476318,1.829211711883545
130,0.6670687794685364,1.672793984413147
140,0.5274513363838196,1.3299601078033447
150,0.4678252339363098,1.1624189615249634
160,0.37997153401374817,1.0965362787246704
170,0.3475823700428009,1.0957131385803223
180,0.3019021153450012,1.0539476871490479
190,0.26044324040412903,0.9867466688156128
200,0.20902839303016663,1.040246844291687
205,0.20446735620498657,1.00234055519104
210,0.18218547105789185,0.9909464716911316
215,0.16451844573020935,0.9761910438537598
220,0.15037423372268677,0.9189614057540894
225,0.12266669422388077,0.8602417707443237
230,0.11723382025957108,0.8402097821235657
235,0.10541779547929764,0.8357415795326233
240,0.0953463539481163,0.8015003204345703
245,0.09410497546195984,0.8063216805458069
250,0.08160428702831268,0.7882369160652161
255,0.07808759063482285,0.7478430867195129
260,0.07144369930028915,0.7317401170730591
265,0.06431584060192108,0.774968147277832
270,0.060604315251111984,0.828604519367218
275,0.058305226266384125,0.8245929479598999
280,0.054123979061841965,0.7194642424583435
285,0.043428365141153336,0.6751294136047363
290,0.03890053927898407,0.7540746927261353
295,0.035289157181978226,0.7963923811912537
300,0.03156593441963196,0.7405261993408203
305,0.027826042845845222,0.7482055425643921
310,0.0274652149528265,0.7655482292175293
315,0.024217095226049423,0.7919182777404785
320,0.02419603429734707,0.7459937334060669
325,0.019797278568148613,0.7677178978919983
330,0.019013293087482452,0.7352964282035828
335,0.017740877345204353,0.7855957746505737
340,0.015501315705478191,0.9054467082023621
345,0.014380557462573051,0.8824048638343811
350,0.013219662010669708,1.0017324686050415
355,0.009586733765900135,1.0256179571151733
360,0.008817577734589577,1.1185381412506104
365,0.0069480156525969505,1.3214054107666016
370,0.005521251354366541,1.6246088743209839
375,0.0040556900203228,2.3045144081115723
380,0.0040246485732495785,2.555495023727417
385,0.0028307372704148293,4.170108795166016
390,0.0010064447997137904,7.7709455490112305
395,0.0002867615839932114,25.849483489990234
400,2.970679270219989e-05,63.617374420166016
405,2.6163997635109126e-09,8.811943054199219
410,9.692555646978462e-10,4.94834566116333
415,6.087085280270799e-10,3.630887031555176
420,4.0496733744177504e-10,2.651261329650879
425,2.0733147143570108e-10,2.417344093322754
430,3.918023960824968e-10,1.8000210523605347
435,3.006358217927385e-10,1.2283083200454712
440,2.4436405676731e-10,1.1777217388153076
445,1.3162849976655622e-10,1.1302210092544556
450,1.2120232595336233e-10,1.0174007415771484
455,1.6970215510614395e-10,1.0399093627929688
460,1.5773699013621467e-10,1.0424257516860962
465,1.0742637335248162e-10,0.958777129650116
470,1.058564277900409e-10,0.8381240963935852
475,1.4960255256823984e-10,0.8471153378486633
480,1.680888206401221e-10,0.7983993887901306
485,1.7955896491894663e-10,0.7521588802337646
490,1.355971029903813e-10,0.6904409527778625
495,1.720802111915276e-10,0.6454488039016724
500,3.368407774928528e-10,0.5538267493247986
505,1.3104820006937246e-10,0.5227603316307068
510,1.0124961979940394e-10,0.4925297498703003
515,6.894132487111904e-11,0.48600924015045166
520,1.0055153237820136e-10,0.4632064402103424
525,6.977076555392259e-11,0.42573750019073486
530,8.363052611537469e-11,0.4147217273712158
535,5.867575175733108e-11,0.3768205940723419
540,4.6221318439343406e-11,0.3740953505039215
545,9.477287704617865e-11,0.354751318693161
550,6.921352380118151e-11,0.35551717877388
555,7.392821771423641e-11,0.35149383544921875
560,7.656031364433602e-11,0.32806065678596497
565,8.244471771945427e-11,0.32416215538978577
570,7.230256671153512e-11,0.32629072666168213
575,9.083517965580157e-11,0.2903715968132019
580,9.06818023449496e-11,0.2861868739128113
585,7.745425828487029e-11,0.2905476987361908
590,7.928502299137108e-11,0.2823120951652527
595,8.201265361273968e-11,0.2821287214756012
600,5.989347212631557e-11,0.275015264749527
650,6.681036973654741e-11,0.23495234549045563
700,5.868824870525202e-11,0.19511593878269196
750,4.261689612317099e-11,0.16127903759479523
800,4.9453118683429054e-11,0.15080322325229645
850,1.225764906243043e-10,0.14147831499576569
900,4.2659119292576264e-11,0.12872447073459625
950,6.676561387086721e-11,0.1170092299580574
1000,3.772060441775693e-11,0.106353759765625
1050,4.63376351178546e-11,0.10340039432048798
1100,2.4215624297441174e-11,0.0985146313905716
1150,3.29987565050871e-11,0.0928138867020607
